email,postal code
customer334@email.com,600229
customer1253@email.com,428622
customer279@email.com,210011
customer1029@email.com,210050
customer428@email.com,478933
customer129@email.com,543164
customer1309@email.com,760658
customer225@email.com,650307
customer1122@email.com,681805
customer477@email.com,520339
customer653@email.com,440033
customer4686@email.com,730165
customer1497@email.com,779305
customer1157@email.com,457406
customer240@email.com,449282
customer422@email.com,679878
customer542@email.com,600371
